****** M = 16, T = 22, F1-score = 0.034929
group 1: size = 130, anomscore = -536.539972, anomlbl = talk.politics.mideast, recall = 0.009174, precision = 0.007692, auc = 0.000035, f1 = 0.008368
group 11: size = 209, anomscore = -561.814858, anomlbl = talk.politics.mideast, recall = 0.073394, precision = 0.038278, auc = 0.001423, f1 = 0.050314
****** M = 16, T = 26, F1-score = 0.029341
group 5: size = 158, anomscore = -495.296357, anomlbl = rec.sport.hockey, recall = 0.020134, precision = 0.018987, auc = 0.000192, f1 = 0.019544
group 1: size = 130, anomscore = -522.608913, anomlbl = talk.politics.mideast, recall = 0.009174, precision = 0.007692, auc = 0.000035, f1 = 0.008368
****** M = 16, T = 30, F1-score = 0.013956
group 0: size = 141, anomscore = -516.506670, anomlbl = talk.politics.mideast, recall = 0.073394, precision = 0.056738, auc = 0.002122, f1 = 0.064000
group 4: size = 110, anomscore = -534.846233, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 6, F1-score = 0.032000
group 6: size = 170, anomscore = -599.827161, anomlbl = talk.politics.mideast, recall = 0.366972, precision = 0.235294, auc = 0.047022, f1 = 0.286738
group 0: size = 141, anomscore = -604.686047, anomlbl = talk.politics.mideast, recall = 0.073394, precision = 0.056738, auc = 0.002122, f1 = 0.064000
****** M = 18, T = 10, F1-score = 0.175369
group 0: size = 141, anomscore = -617.986688, anomlbl = talk.politics.mideast, recall = 0.073394, precision = 0.056738, auc = 0.002122, f1 = 0.064000
group 4: size = 110, anomscore = -640.531299, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 14, F1-score = 0.032000
group 15: size = 113, anomscore = -1072.000135, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 4: size = 110, anomscore = -1140.194540, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 18, F1-score = 0.000000
group 2: size = 256, anomscore = -909.770685, anomlbl = rec.sport.hockey, recall = 0.033557, precision = 0.019531, auc = 0.000330, f1 = 0.024691
group 8: size = 276, anomscore = -1141.270831, anomlbl = talk.politics.mideast, recall = 0.284404, precision = 0.112319, auc = 0.016605, f1 = 0.161039
****** M = 18, T = 22, F1-score = 0.092865
group 15: size = 113, anomscore = -609.669379, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 4: size = 110, anomscore = -733.606192, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 26, F1-score = 0.000000
group 15: size = 113, anomscore = -642.448564, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 4: size = 110, anomscore = -773.955544, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 30, F1-score = 0.000000
group 15: size = 254, anomscore = -542.307432, anomlbl = rec.sport.hockey, recall = 0.885906, precision = 0.519685, auc = 0.285472, f1 = 0.655087
group 19: size = 42, anomscore = -572.588748, anomlbl = talk.politics.mideast, recall = 0.027523, precision = 0.071429, auc = 0.001005, f1 = 0.039735
****** M = 20, T = 6, F1-score = 0.347411
group 15: size = 254, anomscore = -591.850458, anomlbl = rec.sport.hockey, recall = 0.885906, precision = 0.519685, auc = 0.285472, f1 = 0.655087
group 19: size = 42, anomscore = -637.402236, anomlbl = talk.politics.mideast, recall = 0.027523, precision = 0.071429, auc = 0.001005, f1 = 0.039735
****** M = 20, T = 10, F1-score = 0.347411
group 15: size = 254, anomscore = -607.806787, anomlbl = rec.sport.hockey, recall = 0.885906, precision = 0.519685, auc = 0.285472, f1 = 0.655087
group 18: size = 143, anomscore = -626.256780, anomlbl = talk.politics.mideast, recall = 0.064220, precision = 0.048951, auc = 0.001598, f1 = 0.055556
****** M = 20, T = 14, F1-score = 0.355321
group 9: size = 144, anomscore = -923.083791, anomlbl = rec.sport.hockey, recall = 0.033557, precision = 0.034722, auc = 0.000598, f1 = 0.034130
group 18: size = 143, anomscore = -997.381573, anomlbl = talk.politics.mideast, recall = 0.064220, precision = 0.048951, auc = 0.001598, f1 = 0.055556
****** M = 20, T = 18, F1-score = 0.044843
group 6: size = 5, anomscore = -662.733434, anomlbl = talk.politics.mideast, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
group 18: size = 143, anomscore = -1170.079837, anomlbl = talk.politics.mideast, recall = 0.064220, precision = 0.048951, auc = 0.001598, f1 = 0.055556
****** M = 20, T = 22, F1-score = 0.027778
group 15: size = 254, anomscore = -989.272420, anomlbl = rec.sport.hockey, recall = 0.885906, precision = 0.519685, auc = 0.285472, f1 = 0.655087
group 9: size = 144, anomscore = -1041.325059, anomlbl = rec.sport.hockey, recall = 0.033557, precision = 0.034722, auc = 0.000598, f1 = 0.034130
****** M = 20, T = 26, F1-score = 0.344608
group 9: size = 144, anomscore = -1103.376307, anomlbl = rec.sport.hockey, recall = 0.033557, precision = 0.034722, auc = 0.000598, f1 = 0.034130
group 0: size = 150, anomscore = -1184.017438, anomlbl = rec.sport.hockey, recall = 0.013423, precision = 0.013333, auc = 0.000090, f1 = 0.013378
****** M = 20, T = 30, F1-score = 0.023754
group 6: size = 260, anomscore = -798.404774, anomlbl = rec.sport.hockey, recall = 0.899329, precision = 0.515385, auc = 0.286746, f1 = 0.655257
group 8: size = 39, anomscore = -816.286060, anomlbl = rec.sport.hockey, recall = 0.006711, precision = 0.025641, auc = 0.000086, f1 = 0.010638
****** M = 22, T = 6, F1-score = 0.332948
