6203362.4094570661	-5991996.1500122109	1.11491e-01	  182
6173466.7969757644	-5931015.6311757872	4.81926e-03	  322
6155542.3227200834	-5898699.8337494610	2.90347e-03	  457
6146011.4505768288	-5881874.4277197570	1.54834e-03	  587
6140038.5859309547	-5871511.3055459764	9.71828e-04	  692
6135381.6395973712	-5864617.1579993721	7.58456e-04	  796
6132099.2812964544	-5858945.7741775345	5.34988e-04	  898
6129663.4929298516	-5855056.7136538532	3.97219e-04	 1001
6127786.1273989612	-5852265.2746818457	3.06275e-04	 1103
6126344.4855289711	-5850295.3715904541	2.35263e-04	 1180
6125196.2358843377	-5848451.8904515263	1.87428e-04	 1257
6124220.2212084569	-5846978.4659479978	1.59344e-04	 1333
6123497.7584423274	-5845777.4103891971	1.17968e-04	 1410
6122840.0792157538	-5844660.0335092964	1.07403e-04	 1486
6122303.7050851798	-5843879.1101483619	8.76022e-05	 1561
6121997.9507059408	-5843573.3557691230	4.99411e-05	 1561
