nu = 0.050010, gamma = 6866.488450, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 0.000100, recall = 0.089147, precision = 0.106977, auc = 0.014943, f1 = 0.097252
nu = 0.100010, gamma = 0.000146, recall = 0.089147, precision = 0.106977, auc = 0.015077, f1 = 0.097252
nu = 0.100010, gamma = 0.000212, recall = 0.089147, precision = 0.106977, auc = 0.015169, f1 = 0.097252
nu = 0.100010, gamma = 0.000309, recall = 0.089147, precision = 0.106977, auc = 0.015192, f1 = 0.097252
nu = 0.100010, gamma = 0.000450, recall = 0.089147, precision = 0.106977, auc = 0.015214, f1 = 0.097252
nu = 0.100010, gamma = 0.000655, recall = 0.089147, precision = 0.106977, auc = 0.015223, f1 = 0.097252
nu = 0.100010, gamma = 0.000954, recall = 0.089147, precision = 0.106977, auc = 0.015222, f1 = 0.097252
nu = 0.100010, gamma = 0.001389, recall = 0.089147, precision = 0.106977, auc = 0.015257, f1 = 0.097252
nu = 0.100010, gamma = 0.002024, recall = 0.089147, precision = 0.106977, auc = 0.015271, f1 = 0.097252
nu = 0.100010, gamma = 0.002947, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.004292, recall = 0.089147, precision = 0.106977, auc = 0.015279, f1 = 0.097252
nu = 0.100010, gamma = 0.006251, recall = 0.089147, precision = 0.106977, auc = 0.015279, f1 = 0.097252
nu = 0.100010, gamma = 0.009103, recall = 0.089147, precision = 0.106977, auc = 0.015276, f1 = 0.097252
nu = 0.100010, gamma = 0.013257, recall = 0.089147, precision = 0.106977, auc = 0.015276, f1 = 0.097252
nu = 0.100010, gamma = 0.019307, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.028118, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.040949, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.059636, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.086851, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.126486, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.184207, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.268270, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.390694, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.568987, recall = 0.089147, precision = 0.106977, auc = 0.015273, f1 = 0.097252
nu = 0.100010, gamma = 0.828643, recall = 0.089147, precision = 0.106977, auc = 0.015276, f1 = 0.097252
