-631059.8302023525	  inf
-447524.0250692922	2.90837e-01
-434945.2910704489	2.81074e-02
-431294.2746820251	8.39420e-03
-429642.0899358112	3.83076e-03
-428764.4364709039	2.04275e-03
-428170.1022596988	1.38616e-03
-427740.4353243452	1.00350e-03
-427388.5193273058	8.22733e-04
-427058.6054772247	7.71930e-04
-426777.0794253626	6.59221e-04
-426538.1027222839	5.59957e-04
-426344.6505527796	4.53540e-04
-426172.5147593563	4.03748e-04
-426007.6000768766	3.86967e-04
-425868.1643565327	3.27308e-04
-425743.7786271825	2.92076e-04
-425648.0072889660	2.24951e-04
-425549.1407817216	2.32273e-04
-425469.7059165953	1.86664e-04
-425379.8052502295	2.11297e-04
-425317.3437476385	1.46837e-04
-425267.6264932037	1.16894e-04
-425204.5944642894	1.48217e-04
-425144.2426500085	1.41936e-04
-425103.3878030091	9.60964e-05
