1	47.103909	48	4
2	41.386113	87	4
3	44.173698	116	5
4	76.281871	153	7
5	142.956496	259	11
6	163.249213	279	12
7	206.364594	346	13
8	218.318755	368	13
9	275.534889	388	16
10	368.731396	410	20
11	511.189273	410	27
12	578.208792	434	33
13	655.480753	453	37
14	787.914760	504	41
15	982.858800	590	47
16	1120.716652	636	50
17	1163.491111	643	52
18	1279.459161	709	52
19	1361.352723	717	55
20	1400.575755	735	56
21	1505.559894	786	58
22	1563.669096	807	60
23	1634.294739	835	60
24	1776.257155	871	66
25	1848.876457	897	66
26	1964.892233	954	69
27	2024.968349	969	72
28	2072.979749	978	74
29	2182.816753	984	82
30	2238.263279	994	85
31	2231.230791	1004	83
32	2317.016159	1036	87
33	2354.367576	1051	88
34	2402.347642	1061	91
35	2430.167251	1069	91
36	2470.157527	1080	91
37	2508.444471	1095	92
38	2606.283104	1153	92
39	2663.579640	1182	93
40	2767.969994	1221	95
41	2802.168699	1249	94
42	2922.970539	1303	99
43	2948.411326	1315	100
44	3046.845052	1350	104
45	3129.053018	1366	108
46	3218.099570	1396	111
47	3267.092958	1406	114
48	3297.892936	1418	115
49	3348.299363	1434	119
50	3350.055880	1442	117
51	3364.854978	1463	116
52	3410.891195	1480	120
53	3442.156820	1501	117
54	3514.498789	1529	121
55	3556.466874	1545	123
56	3596.862363	1563	122
57	3631.364346	1591	121
58	3690.766923	1604	125
59	3765.467107	1633	131
60	3809.035341	1656	131
61	3824.173296	1668	131
62	3875.957568	1679	135
63	3892.616362	1688	136
64	3917.804302	1706	137
65	3924.018130	1716	137
66	3931.852673	1723	137
67	3946.924740	1734	138
68	3997.586583	1758	142
69	4025.278002	1777	143
70	4066.517233	1783	152
71	4101.425919	1786	154
72	4131.170901	1828	154
73	4175.419319	1841	157
74	4195.986599	1843	157
75	4236.568972	1865	159
76	4230.336186	1884	158
77	4274.540005	1895	161
78	4438.775242	1918	166
79	4473.874736	1925	167
80	4621.178041	1965	174
81	4869.558976	1997	180
82	4979.131532	2018	185
83	5050.568287	2031	189
84	5113.525081	2042	186
85	5124.551412	2066	182
86	5151.861647	2082	183
87	5172.325473	2096	183
88	5222.838216	2117	185
89	5298.246929	2127	192
90	5351.674861	2155	195
91	5473.071430	2164	201
92	5551.905886	2182	204
93	5564.495241	2192	207
94	5676.701290	2218	211
95	5881.243120	2240	224
96	5921.326044	2252	226
97	5976.821025	2276	228
98	6006.387973	2290	231
99	6015.115746	2310	231
100	6039.392133	2322	230
101	6049.494489	2342	231
