group 3: size = 26, anomscore = -483.949835, anomlbl = ship, recall = 0.035714, precision = 0.076923, auc = 0.001458, f1 = 0.048780
****** M = 16, T = 30, F1-score = 0.037048
group 1: size = 33, anomscore = -380.098110, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 4: size = 14, anomscore = -390.849088, anomlbl = coffee, recall = 0.035294, precision = 0.214286, auc = 0.004051, f1 = 0.060606
****** M = 18, T = 6, F1-score = 0.142663
group 4: size = 14, anomscore = -567.934740, anomlbl = coffee, recall = 0.035294, precision = 0.214286, auc = 0.004051, f1 = 0.060606
group 1: size = 33, anomscore = -602.406853, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
****** M = 18, T = 10, F1-score = 0.142663
group 1: size = 33, anomscore = -689.550072, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 4: size = 14, anomscore = -689.781912, anomlbl = coffee, recall = 0.035294, precision = 0.214286, auc = 0.004051, f1 = 0.060606
****** M = 18, T = 14, F1-score = 0.142663
group 1: size = 33, anomscore = -779.292350, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 8: size = 31, anomscore = -1056.956358, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 18, T = 18, F1-score = 0.112360
group 1: size = 33, anomscore = -769.522231, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 9: size = 53, anomscore = -848.937563, anomlbl = coffee, recall = 0.035294, precision = 0.056604, auc = 0.001016, f1 = 0.043478
****** M = 18, T = 22, F1-score = 0.134099
group 1: size = 33, anomscore = -476.656976, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 11: size = 56, anomscore = -1188.570276, anomlbl = coffee, recall = 0.035294, precision = 0.053571, auc = 0.000961, f1 = 0.042553
****** M = 18, T = 26, F1-score = 0.133636
group 1: size = 33, anomscore = -484.517140, anomlbl = ship, recall = 0.178571, precision = 0.303030, auc = 0.035057, f1 = 0.224719
group 14: size = 83, anomscore = -941.172380, anomlbl = coffee, recall = 0.552941, precision = 0.566265, auc = 0.199136, f1 = 0.559524
****** M = 18, T = 30, F1-score = 0.392121
group 14: size = 34, anomscore = -443.005129, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
group 10: size = 27, anomscore = -444.149418, anomlbl = ship, recall = 0.035714, precision = 0.074074, auc = 0.001348, f1 = 0.048193
****** M = 20, T = 6, F1-score = 0.157430
group 17: size = 41, anomscore = -543.313313, anomlbl = coffee, recall = 0.247059, precision = 0.512195, auc = 0.078118, f1 = 0.333333
group 14: size = 34, anomscore = -552.041981, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
****** M = 20, T = 10, F1-score = 0.300000
group 13: size = 21, anomscore = -781.615645, anomlbl = ship, recall = 0.107143, precision = 0.285714, auc = 0.020189, f1 = 0.155844
