M, bic, Etr_lkh, ho_lkh, avg_tpc/doc, avg_wrd/tpc, num_unq_wrds, tr_ccr, t_ccr, runtime, uv_avg_tpc/doc, uv_avg_wrd/tpc, uv_num_unq_wrds
40, 6121997.95071, -5843573.35577, 1.4747272043145616, 450.275, 11232.0, 0.5314185375642795, 0.6043039086517348, 1561.0, 1.47472720431, 669.15, 11331.0
39, 6107566.11456, -5823554.63579, 1.2763075379405493, 506.461538462, 11678.0, 0.559262510974539, 0.6253842775581906, 703.0, 1.27630753794, 742.025641026, 11767.0
38, 6105998.59433, -5823149.22486, 1.2271416029098206, 527.078947368, 11724.0, 0.5713031481249216, 0.6389986824769434, 513.0, 1.22714160291, 767.894736842, 11811.0
37, 6104856.72232, -5824398.7599, 1.2053179480747522, 538.972972973, 11682.0, 0.5755675404490155, 0.645147123407993, 363.0, 1.20531794807, 785.567567568, 11777.0
36, 6102799.4174, -5824053.96889, 1.2001755926251096, 550.805555556, 11664.0, 0.5797065094694595, 0.6407553798858147, 427.0, 1.20017559263, 804.222222222, 11746.0
35, 6101506.07886, -5825678.17013, 1.194406120657218, 558.142857143, 11544.0, 0.5804590492913584, 0.6368028107158542, 405.0, 1.19440612066, 818.685714286, 11628.0
34, 6101827.14815, -5829165.60337, 1.1881349554747271, 569.823529412, 11415.0, 0.5789539696475605, 0.6341677646025472, 333.0, 1.18813495547, 833.147058824, 11507.0
33, 6101601.98222, -5832090.00836, 1.192399347798821, 577.727272727, 11312.0, 0.5788285463439107, 0.6363636363636364, 346.0, 1.1923993478, 846.121212121, 11412.0
32, 6100925.64402, -5834130.04663, 1.1974162799448138, 589.84375, 11267.0, 0.5800827793804089, 0.631971892841458, 375.0, 1.19741627994, 862.21875, 11362.0
31, 6099014.02638, -5835402.63244, 1.1940298507462686, 600.580645161, 11109.0, 0.5829675153643546, 0.6280193236714976, 347.0, 1.19402985075, 879.35483871, 11214.0
30, 6098732.09678, -5837979.90064, 1.1907688448513734, 615.566666667, 11035.0, 0.5838454784899034, 0.629336846728151, 305.0, 1.19076884485, 899.066666667, 11138.0
29, 6096698.51426, -5839420.62378, 1.191019691458673, 625.896551724, 10874.0, 0.5848488649191019, 0.6324110671936759, 295.0, 1.19101969146, 916.103448276, 10975.0
28, 6096987.77407, -5842399.75649, 1.1950332371754673, 641.785714286, 10821.0, 0.5886115640285965, 0.631971892841458, 263.0, 1.19503323718, 937.75, 10931.0
27, 6095429.76886, -5843843.75521, 1.192399347798821, 657.740740741, 10709.0, 0.5891132572431957, 0.6288976723759332, 266.0, 1.1923993478, 961.259259259, 10808.0
26, 6094645.11749, -5846881.53173, 1.1976671265521135, 669.846153846, 10535.0, 0.5902420669760442, 0.6315327184892402, 302.0, 1.19766712655, 980.115384615, 10644.0
25, 6093511.76243, -5849668.58528, 1.1839959864542833, 688.08, 10396.0, 0.59312680295999, 0.6275801493192797, 223.0, 1.18399598645, 1004.64, 10506.0
24, 6092375.8953, -5853768.62718, 1.1951586604791171, 692.083333333, 9960.0, 0.5976420418913834, 0.639877031181379, 222.0, 1.19515866048, 1017.41666667, 10086.0
23, 6092838.41624, -5858958.65283, 1.198670512981312, 706.739130435, 9764.0, 0.5916217233161921, 0.6376811594202898, 196.0, 1.19867051298, 1036.26086957, 9895.0
22, 6090459.51378, -5860412.27378, 1.1974162799448138, 727.272727273, 9599.0, 0.5971403486767841, 0.6302151954325868, 216.0, 1.19741627994, 1065.40909091, 9730.0
21, 6089047.18101, -5862892.69095, 1.192399347798821, 749.714285714, 9427.0, 0.6024081274300765, 0.6328502415458938, 156.0, 1.1923993478, 1098.0952381, 9557.0
20, 6086541.38052, -5864662.51407, 1.1918976545842217, 772.3, 9265.0, 0.6040386303775241, 0.6372419850680721, 148.0, 1.19189765458, 1130.05, 9392.0
19, 6084393.25591, -5867246.50605, 1.184748526276182, 798.842105263, 9168.0, 0.6060454032359213, 0.6407553798858147, 128.0, 1.18474852628, 1163.36842105, 9293.0
18, 6082908.04268, -5870869.90313, 1.1927756177097706, 813.722222222, 8819.0, 0.6078013294870187, 0.6420729029424681, 119.0, 1.19277561771, 1192.44444444, 8950.0
17, 6082245.87997, -5876322.78237, 1.191646807976922, 833.705882353, 8573.0, 0.6067979430578201, 0.639877031181379, 118.0, 1.19164680798, 1220.58823529, 8707.0
16, 6083072.63603, -5882844.63584, 1.182741753417785, 862.9375, 8389.0, 0.6051674401103725, 0.6385595081247255, 102.0, 1.18274175342, 1259.625, 8532.0
15, 6082825.88505, -5888353.61368, 1.183368869936034, 889.933333333, 8122.0, 0.6072996362724195, 0.6376811594202898, 93.0, 1.18336886994, 1301.0, 8272.0
14, 6082710.71394, -5894641.28156, 1.1877586855637778, 920.357142857, 7888.0, 0.6076759061833689, 0.631971892841458, 92.0, 1.18775868556, 1340.14285714, 8042.0
13, 6081480.10054, -5899443.21113, 1.1839959864542833, 963.153846154, 7626.0, 0.6120657218111125, 0.639877031181379, 84.0, 1.18399598645, 1395.76923077, 7795.0
12, 6081843.93767, -5906043.10051, 1.1762197416279945, 1018.16666667, 7479.0, 0.5886115640285965, 0.6179183135704874, 80.0, 1.17621974163, 1460.16666667, 7639.0
11, 6082733.82438, -5912279.01716, 1.175216355198796, 1082.90909091, 7323.0, 0.5893641038504954, 0.6064997804128239, 59.0, 1.1752163552, 1547.63636364, 7490.0
10, 6085267.04439, -5923802.17259, 1.1791044776119404, 1118.2, 6864.0, 0.5524896525774489, 0.5810276679841897, 60.0, 1.17910447761, 1598.2, 7043.0
