1591447.2224194093	-1512823.3415159290	1.05245e-01	   14
1579308.9833718326	-1494763.7852507466	7.62717e-03	   27
1573498.6336415124	-1486356.7422541489	3.67905e-03	   41
1570291.9647975385	-1481895.1045289161	2.03792e-03	   57
1568047.0001128574	-1479024.9137578730	1.42965e-03	   71
1566789.4082942016	-1477574.1002065171	8.02012e-04	   84
1565936.2493516777	-1476586.3477896512	5.44527e-04	   95
1565306.5290102803	-1475825.5238861244	4.02137e-04	  105
1564795.3799118907	-1475158.0970247160	3.26549e-04	  112
1564346.0648854529	-1474527.5353630835	2.87140e-04	  122
1564052.7690855786	-1474112.4319296612	1.87488e-04	  132
1563839.9707383951	-1473772.7458271391	1.36056e-04	  143
1563703.2261207625	-1473499.3444749743	8.74416e-05	  156
1563605.2806817517	-1473401.3990359635	6.26368e-05	  156
