nu = 0.050010, gamma = 3039.195382, recall = 0.007092, precision = 0.006849, auc = 0.000034, f1 = 0.006969
nu = 0.050010, gamma = 4520.353656, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.050010, gamma = 6723.357536, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.050010, gamma = 10000.000000, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.100010, gamma = 0.100000, recall = 0.269504, precision = 0.260274, auc = 0.068053, f1 = 0.264808
nu = 0.100010, gamma = 0.148735, recall = 0.269504, precision = 0.260274, auc = 0.068034, f1 = 0.264808
nu = 0.100010, gamma = 0.221222, recall = 0.269504, precision = 0.260274, auc = 0.068026, f1 = 0.264808
nu = 0.100010, gamma = 0.329034, recall = 0.276596, precision = 0.267123, auc = 0.069926, f1 = 0.271777
nu = 0.100010, gamma = 0.489390, recall = 0.276596, precision = 0.267123, auc = 0.069979, f1 = 0.271777
nu = 0.100010, gamma = 0.727895, recall = 0.276596, precision = 0.267123, auc = 0.069930, f1 = 0.271777
nu = 0.100010, gamma = 1.082637, recall = 0.276596, precision = 0.267123, auc = 0.069942, f1 = 0.271777
nu = 0.100010, gamma = 1.610262, recall = 0.276596, precision = 0.267123, auc = 0.070061, f1 = 0.271777
nu = 0.100010, gamma = 2.395027, recall = 0.276596, precision = 0.267123, auc = 0.070002, f1 = 0.271777
nu = 0.100010, gamma = 3.562248, recall = 0.276596, precision = 0.267123, auc = 0.070210, f1 = 0.271777
nu = 0.100010, gamma = 5.298317, recall = 0.276596, precision = 0.267123, auc = 0.070623, f1 = 0.271777
nu = 0.100010, gamma = 7.880463, recall = 0.276596, precision = 0.267123, auc = 0.070819, f1 = 0.271777
nu = 0.100010, gamma = 11.721023, recall = 0.269504, precision = 0.260274, auc = 0.069525, f1 = 0.264808
nu = 0.100010, gamma = 17.433288, recall = 0.269504, precision = 0.260274, auc = 0.070190, f1 = 0.264808
nu = 0.100010, gamma = 25.929438, recall = 0.269504, precision = 0.260274, auc = 0.075056, f1 = 0.264808
nu = 0.100010, gamma = 38.566204, recall = 0.262411, precision = 0.253425, auc = 0.083721, f1 = 0.257840
nu = 0.100010, gamma = 57.361525, recall = 0.276596, precision = 0.267123, auc = 0.099619, f1 = 0.271777
nu = 0.100010, gamma = 85.316785, recall = 0.319149, precision = 0.308219, auc = 0.128679, f1 = 0.313589
nu = 0.100010, gamma = 126.896100, recall = 0.347518, precision = 0.335616, auc = 0.151639, f1 = 0.341463
nu = 0.100010, gamma = 188.739182, recall = 0.361702, precision = 0.349315, auc = 0.172951, f1 = 0.355401
nu = 0.100010, gamma = 280.721620, recall = 0.382979, precision = 0.369863, auc = 0.195526, f1 = 0.376307
nu = 0.100010, gamma = 417.531894, recall = 0.446809, precision = 0.431507, auc = 0.246552, f1 = 0.439024
nu = 0.100010, gamma = 621.016942, recall = 0.489362, precision = 0.472603, auc = 0.301499, f1 = 0.480836
nu = 0.100010, gamma = 923.670857, recall = 0.524823, precision = 0.506849, auc = 0.345743, f1 = 0.515679
nu = 0.100010, gamma = 1373.823796, recall = 0.546099, precision = 0.527397, auc = 0.182987, f1 = 0.536585
nu = 0.100010, gamma = 2043.359718, recall = 0.021277, precision = 0.020548, auc = 0.000223, f1 = 0.020906
nu = 0.100010, gamma = 3039.195382, recall = 0.007092, precision = 0.006849, auc = 0.000034, f1 = 0.006969
nu = 0.100010, gamma = 4520.353656, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.100010, gamma = 6723.357536, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.100010, gamma = 10000.000000, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.150010, gamma = 0.100000, recall = 0.269504, precision = 0.260274, auc = 0.064894, f1 = 0.264808
nu = 0.150010, gamma = 0.148735, recall = 0.276596, precision = 0.267123, auc = 0.066796, f1 = 0.271777
nu = 0.150010, gamma = 0.221222, recall = 0.269504, precision = 0.260274, auc = 0.064920, f1 = 0.264808
nu = 0.150010, gamma = 0.329034, recall = 0.269504, precision = 0.260274, auc = 0.064920, f1 = 0.264808
nu = 0.150010, gamma = 0.489390, recall = 0.269504, precision = 0.260274, auc = 0.064960, f1 = 0.264808
nu = 0.150010, gamma = 0.727895, recall = 0.269504, precision = 0.260274, auc = 0.064960, f1 = 0.264808
nu = 0.150010, gamma = 1.082637, recall = 0.269504, precision = 0.260274, auc = 0.064988, f1 = 0.264808
nu = 0.150010, gamma = 1.610262, recall = 0.269504, precision = 0.260274, auc = 0.064953, f1 = 0.264808
nu = 0.150010, gamma = 2.395027, recall = 0.262411, precision = 0.253425, auc = 0.063115, f1 = 0.257840
nu = 0.150010, gamma = 3.562248, recall = 0.262411, precision = 0.253425, auc = 0.063141, f1 = 0.257840
nu = 0.150010, gamma = 5.298317, recall = 0.262411, precision = 0.253425, auc = 0.063546, f1 = 0.257840
nu = 0.150010, gamma = 7.880463, recall = 0.269504, precision = 0.260274, auc = 0.065756, f1 = 0.264808
nu = 0.150010, gamma = 11.721023, recall = 0.269504, precision = 0.260274, auc = 0.066368, f1 = 0.264808
nu = 0.150010, gamma = 17.433288, recall = 0.269504, precision = 0.260274, auc = 0.067318, f1 = 0.264808
nu = 0.150010, gamma = 25.929438, recall = 0.269504, precision = 0.260274, auc = 0.070982, f1 = 0.264808
nu = 0.150010, gamma = 38.566204, recall = 0.262411, precision = 0.253425, auc = 0.077554, f1 = 0.257840
nu = 0.150010, gamma = 57.361525, recall = 0.283688, precision = 0.273973, auc = 0.097269, f1 = 0.278746
nu = 0.150010, gamma = 85.316785, recall = 0.319149, precision = 0.308219, auc = 0.127958, f1 = 0.313589
nu = 0.150010, gamma = 126.896100, recall = 0.347518, precision = 0.335616, auc = 0.151639, f1 = 0.341463
nu = 0.150010, gamma = 188.739182, recall = 0.361702, precision = 0.349315, auc = 0.172951, f1 = 0.355401
nu = 0.150010, gamma = 280.721620, recall = 0.382979, precision = 0.369863, auc = 0.195526, f1 = 0.376307
nu = 0.150010, gamma = 417.531894, recall = 0.446809, precision = 0.431507, auc = 0.246552, f1 = 0.439024
nu = 0.150010, gamma = 621.016942, recall = 0.489362, precision = 0.472603, auc = 0.301550, f1 = 0.480836
nu = 0.150010, gamma = 923.670857, recall = 0.524823, precision = 0.506849, auc = 0.345975, f1 = 0.515679
nu = 0.150010, gamma = 1373.823796, recall = 0.539007, precision = 0.520548, auc = 0.178279, f1 = 0.529617
nu = 0.150010, gamma = 2043.359718, recall = 0.021277, precision = 0.020548, auc = 0.000223, f1 = 0.020906
nu = 0.150010, gamma = 3039.195382, recall = 0.007092, precision = 0.006849, auc = 0.000034, f1 = 0.006969
nu = 0.150010, gamma = 4520.353656, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.150010, gamma = 6723.357536, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.150010, gamma = 10000.000000, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.200010, gamma = 0.100000, recall = 0.269504, precision = 0.260274, auc = 0.063330, f1 = 0.264808
nu = 0.200010, gamma = 0.148735, recall = 0.269504, precision = 0.260274, auc = 0.063330, f1 = 0.264808
nu = 0.200010, gamma = 0.221222, recall = 0.269504, precision = 0.260274, auc = 0.063388, f1 = 0.264808
nu = 0.200010, gamma = 0.329034, recall = 0.269504, precision = 0.260274, auc = 0.063388, f1 = 0.264808
nu = 0.200010, gamma = 0.489390, recall = 0.269504, precision = 0.260274, auc = 0.063313, f1 = 0.264808
nu = 0.200010, gamma = 0.727895, recall = 0.269504, precision = 0.260274, auc = 0.063291, f1 = 0.264808
nu = 0.200010, gamma = 1.082637, recall = 0.269504, precision = 0.260274, auc = 0.063290, f1 = 0.264808
nu = 0.200010, gamma = 1.610262, recall = 0.269504, precision = 0.260274, auc = 0.063274, f1 = 0.264808
nu = 0.200010, gamma = 2.395027, recall = 0.262411, precision = 0.253425, auc = 0.061493, f1 = 0.257840
nu = 0.200010, gamma = 3.562248, recall = 0.262411, precision = 0.253425, auc = 0.061612, f1 = 0.257840
nu = 0.200010, gamma = 5.298317, recall = 0.262411, precision = 0.253425, auc = 0.061821, f1 = 0.257840
nu = 0.200010, gamma = 7.880463, recall = 0.269504, precision = 0.260274, auc = 0.063806, f1 = 0.264808
nu = 0.200010, gamma = 11.721023, recall = 0.269504, precision = 0.260274, auc = 0.064547, f1 = 0.264808
nu = 0.200010, gamma = 17.433288, recall = 0.269504, precision = 0.260274, auc = 0.065969, f1 = 0.264808
nu = 0.200010, gamma = 25.929438, recall = 0.269504, precision = 0.260274, auc = 0.067662, f1 = 0.264808
nu = 0.200010, gamma = 38.566204, recall = 0.262411, precision = 0.253425, auc = 0.070177, f1 = 0.257840
nu = 0.200010, gamma = 57.361525, recall = 0.283688, precision = 0.273973, auc = 0.093909, f1 = 0.278746
nu = 0.200010, gamma = 85.316785, recall = 0.319149, precision = 0.308219, auc = 0.125184, f1 = 0.313589
nu = 0.200010, gamma = 126.896100, recall = 0.347518, precision = 0.335616, auc = 0.151639, f1 = 0.341463
nu = 0.200010, gamma = 188.739182, recall = 0.368794, precision = 0.356164, auc = 0.175461, f1 = 0.362369
nu = 0.200010, gamma = 280.721620, recall = 0.382979, precision = 0.369863, auc = 0.195526, f1 = 0.376307
nu = 0.200010, gamma = 417.531894, recall = 0.446809, precision = 0.431507, auc = 0.245657, f1 = 0.439024
nu = 0.200010, gamma = 621.016942, recall = 0.489362, precision = 0.472603, auc = 0.301499, f1 = 0.480836
nu = 0.200010, gamma = 923.670857, recall = 0.524823, precision = 0.506849, auc = 0.345694, f1 = 0.515679
nu = 0.200010, gamma = 1373.823796, recall = 0.546099, precision = 0.527397, auc = 0.182987, f1 = 0.536585
nu = 0.200010, gamma = 2043.359718, recall = 0.021277, precision = 0.020548, auc = 0.000223, f1 = 0.020906
nu = 0.200010, gamma = 3039.195382, recall = 0.007092, precision = 0.006849, auc = 0.000034, f1 = 0.006969
nu = 0.200010, gamma = 4520.353656, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.200010, gamma = 6723.357536, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.200010, gamma = 10000.000000, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.250010, gamma = 0.100000, recall = 0.262411, precision = 0.253425, auc = 0.060363, f1 = 0.257840
nu = 0.250010, gamma = 0.148735, recall = 0.262411, precision = 0.253425, auc = 0.060363, f1 = 0.257840
nu = 0.250010, gamma = 0.221222, recall = 0.262411, precision = 0.253425, auc = 0.060363, f1 = 0.257840
nu = 0.250010, gamma = 0.329034, recall = 0.262411, precision = 0.253425, auc = 0.060389, f1 = 0.257840
